season,split,referee,role,gender,experience_years,games_officiated,home_team_win_pct,home_team_point_differential,total_points_per_game,called_fouls_per_game,foul_pct_against_road_teams,foul_pct_against_home_teams,foul_differential_road_minus_home,source_updated_note,source_url
2023-24,regular_season,Sha'Rae Mitchell,CREW,MALE,3,35,0.486,4.2,226.9,36.3,0.501,0.498,0.1,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Dannica Mosher,CREW,MALE,4,35,0.657,6.4,230.4,36.1,0.489,0.512,-0.8,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Danielle Scott,CREW,MALE,0,36,0.583,3.9,229.4,39,0.521,0.479,1.6,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Matt Kallio,CREW,MALE,3,34,0.588,2.1,232,37.5,0.5,0.499,0.1,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Brian Forte,CHIEF,MALE,18,35,0.486,0.3,222,37.3,0.506,0.494,0.5,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Intae Hwang,CREW,MALE,2,33,0.455,-2.2,231.7,35.6,0.491,0.509,-0.6,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Kevin Cutler,CREW,MALE,15,33,0.576,3.7,227.7,38.2,0.512,0.489,0.8,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Derrick Collins,CHIEF,MALE,25,31,0.613,4.4,228.1,35.7,0.509,0.491,0.6,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Scott Wall,CHIEF,MALE,29,29,0.586,2.4,229.6,39.6,0.505,0.495,0.4,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Rodney Mott,CHIEF,MALE,29,26,0.654,2,225.7,43.4,0.52,0.479,1.8,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Che Flores,CREW,FEMALE,3,29,0.414,-0.1,226.5,36.7,0.504,0.496,0.3,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Brian Forte,CREW,MALE,18,28,0.607,4.9,229,34.5,0.506,0.493,0.5,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Josh Tiven,CREW,MALE,15,28,0.607,0.5,226.6,36.8,0.503,0.498,0.2,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Curtis Blair,CREW,MALE,16,28,0.536,1.8,225.3,37.6,0.515,0.486,1.1,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Ben Taylor,CREW,MALE,13,27,0.556,2.3,233,37.4,0.51,0.491,0.7,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Derek Richardson,CHIEF,MALE,29,25,0.44,-0.4,234.9,37.8,0.521,0.48,1.5,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Pat Fraher,CREW,MALE,29,24,0.375,-4,230.1,38.5,0.518,0.482,1.4,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Eric Dalen,CHIEF,MALE,16,22,0.5,0,233.7,36.6,0.503,0.497,0.2,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Leon Wood,CHIEF,MALE,29,20,0.4,-3.7,226.4,40.1,0.509,0.49,0.8,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Sean Wright,CREW,MALE,19,23,0.609,2.2,224.9,39.3,0.501,0.499,0.1,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Ed Malloy,CREW,MALE,22,22,0.591,2.8,227,34.7,0.523,0.478,1.5,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Tre Maddox,CREW,MALE,14,19,0.632,5.3,237.5,40.5,0.481,0.52,-1.6,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Nick Buchert,CHIEF,MALE,15,18,0.444,4.1,235.7,38.9,0.498,0.501,-0.1,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Mark Lindsay,CREW,MALE,17,19,0.526,-0.2,230.7,38.3,0.522,0.477,1.7,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Kevin Cutler,CHIEF,MALE,15,20,0.5,-2,231.8,38,0.521,0.478,1.7,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Matt Boland,CREW,MALE,25,17,0.353,-4.8,225.4,36.1,0.495,0.505,-0.4,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Lauren Holtkamp,CREW,FEMALE,12,15,0.533,2.5,231.7,37,0.495,0.505,-0.3,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Zach Zarba,CREW,MALE,21,16,0.5,-0.4,236.8,38.3,0.501,0.498,0.1,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Kevin Scott,CHIEF,MALE,14,15,0.667,3.6,229.2,35.5,0.516,0.483,1.2,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Karl Lane,CHIEF,MALE,14,15,0.8,9.3,222.3,36.7,0.503,0.498,0.2,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Courtney Kirkland,CREW,MALE,25,16,0.5,0.6,231.4,39.9,0.522,0.478,1.8,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Matt Boland,CHIEF,MALE,25,17,0.824,9.8,228.2,39.2,0.486,0.513,-1.1,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Ben Taylor,CHIEF,MALE,13,14,0.571,5.1,229.1,39.4,0.479,0.522,-1.7,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Tom Washington,CREW,MALE,33,14,0.571,3.9,237.4,36.9,0.496,0.505,-0.4,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,David Guthrie,CREW,MALE,19,15,0.333,-3.2,231.5,35.3,0.482,0.519,-1.3,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,James Williams,CHIEF,MALE,15,15,0.667,3,233.3,34.2,0.491,0.509,-0.6,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Derrick Collins,CREW,MALE,25,16,0.625,6.9,230.1,36.9,0.498,0.503,-0.2,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Derek Richardson,CREW,MALE,29,15,0.733,9.7,235.7,37.3,0.481,0.52,-1.5,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Marc Davis,CREW,MALE,26,14,0.5,0.2,228.5,33.6,0.506,0.495,0.4,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Mitchell Ervin,CHIEF,MALE,10,14,0.429,2.4,226.6,40,0.495,0.505,-0.4,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Marat Kogut,CHIEF,MALE,15,13,0.615,3.7,229.2,39.7,0.517,0.482,1.4,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Brent Barnaky,CHIEF,MALE,15,14,0.429,-1.9,224.8,37.7,0.504,0.496,0.3,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Bill Kennedy,CREW,MALE,29,12,0.583,5.5,231.7,40,0.542,0.458,3.3,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Tyler Ford,CHIEF,MALE,10,12,0.25,-2.7,229.3,38.7,0.469,0.53,-2.3,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,John Goble,CHIEF,MALE,17,12,0.75,12.8,223.7,35.9,0.476,0.525,-1.8,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Brett Nansel,CHIEF,MALE,10,10,0.7,5.9,227.3,38.8,0.487,0.513,-1,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Leon Wood,CREW,MALE,29,9,0.556,1.8,238.4,39.9,0.482,0.518,-1.4,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Brent Haskill,CREW,MALE,3,8,0.625,0.8,236.3,39.5,0.522,0.478,1.8,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Tyler Ricks,CREW,MALE,3,8,0.625,4.8,228.8,41.6,0.511,0.49,0.9,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,JD Ralls,CREW,MALE,1,8,0.5,-0.875,228.875,38.75,0.4548,0.5452,-3.5,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Scott Wall,CREW,MALE,29,9,0.667,6.4,217.8,38.3,0.496,0.505,-0.3,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,John Goble,CREW,MALE,17,12,0.333,-5,223,40.1,0.463,0.536,-2.9,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Tyler Mirkovich,CREW,MALE,3,7,0.857,13.9,229.9,42.4,0.495,0.505,-0.4,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Jenna Reneau,CREW,MALE,3,7,0.429,0,228.6,42,0.507,0.493,0.6,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Pat O'Connell,CREW,MALE,3,7,0.143,-7.4,232.6,40.4,0.499,0.502,-0.1,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,JB DeRosa,CREW,MALE,7,6,0.333,-0.2,230.5,35.8,0.47,0.531,-2.2,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,J.T. Orr,CHIEF,MALE,15,6,0.667,-0.3,229.7,38.5,0.515,0.485,1.2,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Michael Smith,CREW,MALE,31,8,0.75,9.4,241.6,41.6,0.517,0.484,1.4,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,CJ Washington,CHIEF,MALE,10,5,0.2,-6.8,222.8,43.2,0.505,0.495,0.4,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Tre Maddox,CHIEF,MALE,14,4,1,7.5,222,35.5,0.563,0.437,4.5,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Rodney Mott,CREW,MALE,29,4,1,19,228.5,41.5,0.536,0.464,3,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Gediminas Petraitis,CHIEF,MALE,10,4,0.5,-0.3,230.8,40.5,0.494,0.506,-0.5,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Clare Aubry,CREW,MALE,3,3,1,9.3,222,37,0.559,0.441,4.3,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Justin Van Duyne,CHIEF,MALE,11,3,0.333,-11.3,209.3,37.7,0.575,0.424,5.7,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Biniam Maru,CREW,MALE,1,2,0.5,2.5,254.5,43,0.5349,0.4651,3,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Che Flores,CHIEF,FEMALE,3,3,0.333,-3.7,243.7,34.7,0.471,0.528,-2,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Matt Myers,CHIEF,MALE,13,3,0.333,-1.3,234.7,39.7,0.504,0.495,0.3,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Scott Twardoski,CHIEF,MALE,15,3,0,-14.7,246.7,41.3,0.468,0.533,-2.7,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Scott Foster,CREW,MALE,30,2,0,-11.5,235.5,35,0.414,0.586,-6,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Sean Corbin,CREW,MALE,31,1,0,-9,225,46,0.435,0.565,-6,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2023-24,regular_season,Dedric Taylor,CHIEF,MALE,11,1,0,-2,220,30,0.433,0.567,-4,Stats last updated,https://www.nbastuffer.com/2023-2024-nba-referee-stats/
2022-23,regular_season,Aaron Smith,CREW,MALE,8,61,0.574,2.8,231.2,38.6,0.498,0.501,-0.1,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,Andy Nagy,CREW,MALE,4,48,0.542,1,231.5,37.8,0.509,0.491,0.7,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,Ashley Moyer-Gleich,CREW,FEMALE,5,62,0.548,1.4,231.8,39.8,0.503,0.498,0.2,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,Ben Taylor,CREW,MALE,12,46,0.674,4.8,229,40.5,0.492,0.509,-0.7,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,Ben Taylor,CHIEF,MALE,12,19,0.474,-0.1,234.7,43.2,0.491,0.509,-0.8,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,Bill Kennedy,CHIEF,MALE,28,50,0.56,0.4,231.4,40.1,0.495,0.505,-0.4,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,Bill Kennedy,CREW,MALE,28,12,0.5,-2.3,231.4,39.3,0.513,0.488,1,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,Brandon Adair,CREW,MALE,6,50,0.56,1.7,226.2,36.9,0.498,0.502,-0.2,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,Brandon Schwab,CREW,MALE,3,42,0.619,3.3,227.8,38.5,0.5,0.499,0,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,Brent Barnaky,CREW,MALE,14,47,0.66,2.6,227.6,40,0.526,0.476,2,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,Brent Barnaky,CHIEF,MALE,14,16,0.688,6.9,227.8,37.3,0.509,0.489,0.8,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,Brent Haskill,CREW,MALE,2,6,0.5,3.2,231.8,39.8,0.523,0.477,1.8,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,Brett Nansel,CREW,MALE,9,53,0.604,3.4,228.9,40.7,0.495,0.504,-0.4,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,Brett Nansel,CHIEF,MALE,9,5,0.6,4.8,242,38.8,0.51,0.49,0.8,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,Brian Forte,CREW,MALE,17,37,0.703,4.9,227.8,39.9,0.511,0.488,0.9,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,Brian Forte,CHIEF,MALE,17,27,0.407,1.4,230.9,38.7,0.491,0.509,-0.7,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,Cheryl Flores,CREW,FEMALE,2,34,0.441,1.8,226,39.7,0.482,0.519,-1.5,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,Cheryl Flores,CHIEF,MALE,2,1,1,12,256,37,0.486,0.514,-1,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,CJ Washington,CREW,MALE,9,41,0.415,-3.4,227.7,41.5,0.521,0.478,1.8,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,CJ Washington,CHIEF,MALE,9,3,1,18,234,40.3,0.521,0.48,1.7,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,Courtney Kirkland,CHIEF,MALE,24,46,0.522,0.2,226.4,39.4,0.509,0.491,0.7,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,Courtney Kirkland,CREW,MALE,24,16,0.438,1.3,223.4,39.1,0.527,0.473,2.1,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,Curtis Blair,CHIEF,MALE,15,31,0.645,3.9,227.8,39.5,0.501,0.498,0.1,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,Curtis Blair,CREW,MALE,15,32,0.5,2.4,231.6,40.2,0.491,0.508,-0.7,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,Danielle Scott,CREW,MALE,0,9,0.667,4.3,235.9,40.2,0.478,0.522,-1.8,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,Dannica Mosher,CREW,MALE,3,33,0.667,5.1,223.9,40.6,0.502,0.497,0.2,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,David Guthrie,CHIEF,MALE,18,41,0.61,3.7,231.1,40.8,0.518,0.481,1.5,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,David Guthrie,CREW,MALE,18,18,0.556,5.5,229.2,41.8,0.509,0.49,0.8,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,Dedric Taylor,CREW,MALE,10,54,0.667,4.2,229,39.4,0.516,0.485,1.2,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,Dedric Taylor,CHIEF,MALE,10,2,0,-8.5,237.5,37,0.459,0.541,-3,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,Derek Richardson,CHIEF,MALE,28,20,0.6,3.9,230.7,40.3,0.502,0.496,0.3,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,Derek Richardson,CREW,MALE,28,6,0.333,-4,218.3,40,0.5,0.5,0,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,Derrick Collins,CHIEF,MALE,24,18,0.5,0.8,222.6,38,0.51,0.49,0.8,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,Derrick Collins,CREW,MALE,24,8,0.875,3.6,231.1,39.1,0.512,0.489,0.9,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,Ed Malloy,CHIEF,MALE,21,33,0.424,-2.2,230.7,39.2,0.482,0.516,-1.3,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,Ed Malloy,CREW,MALE,21,26,0.577,6,233.6,40.2,0.503,0.496,0.3,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,Eric Dalen,CREW,MALE,15,24,0.667,5.4,216.1,37,0.48,0.52,-1.5,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,Eric Dalen,CHIEF,MALE,15,16,0.438,-2.5,226.8,39.6,0.508,0.491,0.7,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,Eric Lewis,CHIEF,MALE,19,44,0.614,3.3,228.5,43.2,0.518,0.481,1.6,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,Eric Lewis,CREW,MALE,19,19,0.526,-3,225.2,42.3,0.506,0.494,0.5,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,Evan Scott,CREW,MALE,5,40,0.675,3.4,230.7,39.6,0.515,0.485,1.2,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,Gediminas Petraitis,CREW,MALE,9,60,0.567,2,229.1,40.8,0.493,0.508,-0.6,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,Gediminas Petraitis,CHIEF,MALE,9,4,0.25,-4.8,245.8,35.5,0.451,0.549,-3.5,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,Intae Hwang,CREW,MALE,1,7,0.571,4,224.3,44.6,0.532,0.468,2.9,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,J.T. Orr,CREW,MALE,14,45,0.556,0.4,230,41.9,0.506,0.493,0.6,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,J.T. Orr,CHIEF,MALE,14,4,0.5,0,222.5,44.5,0.483,0.517,-1.5,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,Jacyn Goble,CREW,MALE,7,62,0.71,4.9,231.7,40.2,0.512,0.488,0.9,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,Jamahl Ralls,CREW,MALE,2,6,0.667,9,245,46.8,0.506,0.495,0.5,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,James Capers,CHIEF,MALE,28,43,0.581,1.9,225,39.9,0.492,0.509,-0.7,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,James Williams,CREW,MALE,14,45,0.578,3.4,229.1,37.1,0.498,0.501,-0.1,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,James Williams,CHIEF,MALE,14,18,0.556,0.1,225.2,35.8,0.512,0.487,0.9,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,Jason Goldenberg,CREW,MALE,7,48,0.604,5.2,235.6,41.1,0.501,0.5,0.1,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,JB DeRosa,CHIEF,MALE,6,60,0.517,0.7,232.5,42,0.499,0.501,-0.1,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,JB DeRosa,CREW,MALE,6,4,0.75,2.5,233.5,44,0.511,0.489,1,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,Jenna Reneau,CREW,MALE,2,5,0.6,-1.4,239.8,40.8,0.52,0.48,1.6,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,Jenna Schroeder,CREW,FEMALE,4,35,0.514,1,230.3,40.7,0.521,0.48,1.7,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,John Butler,CREW,MALE,5,48,0.563,2.6,227.2,39.4,0.5,0.5,0,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,John Conley,CREW,MALE,4,36,0.528,1.1,230.8,41.1,0.501,0.499,0.1,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,John Goble,CHIEF,MALE,16,40,0.45,1.3,225.4,39.5,0.485,0.514,-1.1,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
2022-23,regular_season,John Goble,CREW,MALE,16,22,0.773,5.9,229.5,38.4,0.535,0.464,2.7,Stats last updated,https://www.nbastuffer.com/2022-2023-nba-referee-stats/
